ft_equipment_id,ft_facility_code,ft_item_type,ft_library_id,ft_model_name,ft_manu_name,ft_serial_num,ft_power_source,ft_ref_gas_type,fi_cfc_free,fn_dimh_4deg,fn_diml_4deg,fn_dimw_4deg,fn_gross_volume_4deg,fn_net_volume_4deg,fn_dimh_20deg,fn_diml_20deg,fn_dimw_20deg,fn_gross_volume_20deg,fn_net_volume_20deg,fi_supply_year,fi_supply_source,fi_operating_cond,fi_work_status,fn_temp_high,fn_temp_low,fi_food,fi_tagged,fi_installation,ft_comment,fn_temp_monitor,fi_temp_none,fi_temp_dial,fi_temp_stem,fi_temp_30_visual,fi_temp_30_sms,fi_temp_number,ft_work_remarks,fn_not_work_spare_parts,fn_not_work_finance,fn_not_work_fuel,fn_not_work_boarded,fn_days_8,fn_days_2
R-000562,03093,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,7031NEW00060,E,Unknown,1,,,,103,30,,,,0,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000563,03094,CREG,E321M,RCW 42 EG,Dometic,420,EG,NH3,1,,,,40,10.5,,,,1.6,0,1994,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000564,03095,IFAC,E003004,TFW 800,Dometic,0267210272,E,R134A,1,,,,0,0,,,,247,0,2001,,1,1,,,,0,,,2,,,,,,,,,,,,,
R-000565,03096,CREG,E321M,RCW 42 EG,Dometic,,EG,NH3,1,,,,40,10.5,,,,1.6,0,2006,,1,1,,,,0,,,1,,,,,,,,,,,,,
R-000229,04 016,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,3850JH3043K,E,Unknown,1,,,,103,30,,,,0,0,2004,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000667,04001,URAC,NP0001,domestic  fridge with freezer,domestic manufacturer,,E,Unknown,1,,,,68.7,24,,,,7.75,0,1980,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000557,040010,URAC,NP0002,domestic fridge without freezer,domestic manufacturer,1738418A800026,E,Unknown,1,,,,103,30,,,,0,0,1993,,2,1,,,,0,,,1,,,,,,,,,,,,,
R-000674,04002,URAC,NP0001,domestic  fridge with freezer,domestic manufacturer,,E,Unknown,1,,,,68.7,24,,,,7.75,0,2008,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000544,04003,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,,E,Unknown,1,,,,68.7,24,,,,7.75,0,2000,,1,1,,,,0,,,3,,,,,,,,,,,,,
R-000545,04004,URAC,NP0001,domestic fridge with freezer,domestic manufacturer,,E,Unknown,1,,,,68.7,24,,,,7.75,0,2000,,1,1,,,,0,,,2,,,,,,,,,,,,,
